CAH Operating Partnership, L.P.
CAH Subsidiary REIT, Inc.	
CSFR FM 2012-1 U.S. West, LLC	
SFR 2012-1 U.S. West, LLC	
CSFR American Investors TRS, LLC	
CSFR ColFin American Investors TRS, LLC	
ColFin American Homes, LLC	
ColFin AI-AZ 1, LLC	
ColFin AI-AZ 2, LLC	
ColFin AI-CA 1, LLC	
ColFin AI-CA 2, LLC	
ColFin AI-CA 3, LLC	
ColFin AI-CA 4, LLC	
ColFin AI-CA 5, LLC	
ColFin AI-CO 1, LLC	
ColFin AI-DE 1, LLC	
ColFin AI-FL 1, LLC	
ColFin AI-FL 2, LLC	
ColFin AI-FL 3, LLC	
ColFin AI-FL 4, LLC	
ColFin AI-GA 1, LLC	
ColFin AI-GA 2, LLC	
ColFin AI-GA 3, LLC	
ColFin AI-GA 4, LLC	
ColFin AI-NV 1, LLC	
ColFin AI-NV 2, LLC	
ColFin AI-PA 1, LLC	
ColFin AI-SC 1, LLC	
ColFin AI-TX 1, LLC	
ColFin AI-TX 1, LLC	
