merge_label,Zip5,delta_hhi,acquiror_share,target_share,merge_id,-5,-4,-3,-2,-1,0,1,2,3,4,5
American Residential Properties - American Homes 4 Rent,30044,0,0,0,3,2.67074591676285,2.66366091479104,2.67133912236852,2.79218741322738,2.85603854775954,2.90693340886391,2.95340539456844,3.0481688990826,3.09921938819452,,
American Residential Properties - American Homes 4 Rent,75070,0,0,0,3,3.25816893302594,2.58695246190281,2.2979411817084,2.11031158956965,1.82231642235,1.72121749953259,2.01836427951209,1.61116703464131,1.44363498224266,,
American Residential Properties - American Homes 4 Rent,75154,0,0,0,3,11.9199935493807,10.9881593440443,10.8952447495091,11.6774514179074,10.8232617705228,10.2990218050049,9.6373540246349,9.70589018500911,8.462890625,,
American Residential Properties - American Homes 4 Rent,76123,0,0,0,3,62.0134135295426,61.2008248449496,47.1386163680503,36.2701878414456,20.7118248171433,12.2063258712117,9.38268079912237,8.70195513505164,8.73614660701882,,
American Residential Properties - American Homes 4 Rent,85037,0,0,0,3,5.02617509467587,9.27047554762827,11.6477626049321,12.0530821215575,12.8425929704571,13.0651304666696,13.4446653982654,14.4708618980069,14.4178369145787,,
American Residential Properties - American Homes 4 Rent,85043,0,0,0,3,10.0029806255448,14.0232582244809,18.1777516766079,26.8323312609206,26.9279734578141,27.3621799708264,27.8713771171648,29.5288994880378,31.3583933391042,,
American Residential Properties - American Homes 4 Rent,85044,0,0,0,3,64.9476965441303,64.6166609555071,64.2305409690128,64.4555040364992,64.4526371519082,64.3877571539786,64.276992,65.1246925713464,68.2722361247188,,
American Residential Properties - American Homes 4 Rent,85138,0,0,0,3,8.54410004925726,9.05149649113816,8.9685711468911,9.67112342681789,9.64416045069778,13.220995687179,26.4932346115373,28.5687198786818,28.1036123017879,,
American Residential Properties - American Homes 4 Rent,85139,0,0,0,3,10.9109767089664,10.9748148148148,11.9689938132751,12.0269125999889,12.0023686980631,11.954366750654,11.9992185919436,11.0886983119532,10.6359637705513,,
American Residential Properties - American Homes 4 Rent,85140,0,0,0,3,53.1896108374123,47.5318030973451,43.6621272183574,39.1463093874056,30.0519468305999,27.5601834656891,23.2523835700258,9.71189828253752,10.4407648564413,,
American Residential Properties - American Homes 4 Rent,85142,0,0,0,3,13.0063538339457,14.7471300446009,14.7359416302608,14.3973323490128,14.8230173240431,15.3722749944651,17.8061617073814,25.4403736065852,24.6556835093987,,
American Residential Properties - American Homes 4 Rent,85207,0,0,0,3,2.29074266556872,2.18551875224423,2.31366405764228,2.32671535145931,2.44991851815869,2.42921972928662,2.35137051039698,2.38977379561408,2.36767305516046,,
American Residential Properties - American Homes 4 Rent,85208,0,0,0,3,1.64053534261494,1.98968999364452,2.38023979056723,2.47396796220299,2.64199441751957,2.81821030721598,2.97749448554077,3.45202824978886,3.44637165191005,,
American Residential Properties - American Homes 4 Rent,85209,0,0,0,3,284.448787263112,282.713122627336,277.199906252472,275.274175568018,273.853610089073,272.763000022182,272.552235529714,269.22392339923,269.081904990938,,
American Residential Properties - American Homes 4 Rent,85212,0,0,0,3,15.3126325678914,15.5877895499313,15.4986391082808,15.4729019017762,15.6336708376031,13.7810195111159,11.3286044270047,13.0557333739775,12.8587257065252,,
American Residential Properties - American Homes 4 Rent,85233,0,0,0,3,10.503358158569,11.3926396411715,11.904705587581,11.9115411558332,11.3665351073709,12.0431962669135,12.365044641646,12.9033350464739,12.8741678377335,,
American Residential Properties - American Homes 4 Rent,85234,0,0,0,3,4.14663866489971,4.45128111185347,4.84598222178718,4.84297125311499,4.97325383918334,5.28800881688955,5.26473870133073,5.65283094987195,5.6525545886336,,
American Residential Properties - American Homes 4 Rent,85249,0,0,0,3,1.53846923812241,1.48008354869265,1.48316908099122,1.38389104799998,1.37822608227813,1.36273368395303,1.37097228903666,1.413444309871,1.40295404258007,,
American Residential Properties - American Homes 4 Rent,85255,0,0,0,3,4.79034783671343,4.57986461972764,5.83054277840271,5.78461937895773,5.774922935971,5.71831851610616,5.40710928893694,5.18639269583773,5.17731099950781,,
American Residential Properties - American Homes 4 Rent,85295,0,0,0,3,22.4864273758778,21.4912663007516,29.6508513564138,37.5920560860908,38.2087098606225,38.4103745541023,38.266378910913,39.0550426959538,33.895112753296,,
American Residential Properties - American Homes 4 Rent,85296,0,0,0,3,7.72392260371296,8.72274847465727,6.00686300334618,5.08922782084006,5.27771872637944,6.0199490175025,6.1658254264845,9.6425726879436,11.9426168472516,,
American Residential Properties - American Homes 4 Rent,85297,0,0,0,3,7.47297034335717,7.10674500111059,5.88549181797395,5.51911830061724,5.78395390115773,5.44296964810411,5.39652477164118,4.44742588040366,4.21224459525177,,
American Residential Properties - American Homes 4 Rent,85303,0,0,0,3,10.7281430990328,12.7853675008272,13.9037351209276,13.976494934612,14.7926303306838,14.7834197285688,15.301429271204,17.7324629928778,17.7071479841039,,
American Residential Properties - American Homes 4 Rent,85323,0,0,0,3,5.13343016733388,6.79376993807469,7.35116123428311,7.41371969246344,8.14440240322554,8.40139118620038,8.70643444898249,13.5983523482842,13.8443528758938,,
American Residential Properties - American Homes 4 Rent,85335,0,0,0,3,4.55339793816619,6.39416519886646,7.83557022526085,8.22142685664412,8.76848286186075,9.16891246407663,9.69605142332415,15.7244026792255,15.6985606191984,,
American Residential Properties - American Homes 4 Rent,85338,0,0,0,3,13.6978284360124,13.9600303766345,12.3766271398112,12.1837620749785,12.362031611522,10.5459967350103,15.6863639106765,15.6217734811129,14.1794473735251,,
American Residential Properties - American Homes 4 Rent,85339,0,0,0,3,6.77815453212173,8.85667989263464,9.91104760649027,10.3130373926576,10.4602504805634,8.84898658922223,10.0665335033004,9.14259512795872,8.96160770526202,,
American Residential Properties - American Homes 4 Rent,85340,0,0,0,3,5.43083781123427,5.93516195218137,6.08764094770129,6.01204644454737,6.3346108786896,6.59940576186243,6.97508539930645,6.93696474452582,6.61601933381337,,
American Residential Properties - American Homes 4 Rent,85345,0,0,0,3,3.96538709798134,5.24138164425702,6.15348553801845,6.29028874137518,6.29900634492829,6.40188421099109,6.80542909274759,9.27996232829323,9.23699363985392,,
American Residential Properties - American Homes 4 Rent,85353,0,0,0,3,45.0184184392037,60.0588968642032,65.6074746368513,64.8001393866706,64.7777814903835,65.9513912264698,66.1828015754849,66.5240480595418,65.534483536079,,
American Residential Properties - American Homes 4 Rent,85374,0,0,0,3,3.02633895543642,3.00000970686355,3.01832713103623,2.90734296398331,2.83245247924312,2.57615663273665,2.57518267531261,3.91653231019763,4.02087948036505,,
American Residential Properties - American Homes 4 Rent,85378,0,0,0,3,43.8517399494852,43.5697563994911,43.9472118898811,39.0013913225396,39.1875222718675,39.0296416072106,39.4783476904059,43.310014617063,40.3544475445653,,
American Residential Properties - American Homes 4 Rent,85379,0,0,0,3,8.82282181889498,7.08301114425003,7.49141653996299,7.40108280731225,7.3560611558924,7.42212742487299,5.70803831986447,5.01637687713512,5.30126449507604,,
American Residential Properties - American Homes 4 Rent,85381,0,0,0,3,4.79567596170414,4.45001152194157,4.76832029185493,4.72029285318047,4.43166722485833,4.3658853206602,4.48921298981317,4.85849974642041,4.85094044393111,,
American Residential Properties - American Homes 4 Rent,85382,0,0,0,3,2.15876033747078,2.95499141461391,2.96412079568942,2.98211295804682,3.07290937162519,3.13582262534643,3.17645391532892,3.87492594085966,3.86223411551216,,
American Residential Properties - American Homes 4 Rent,85388,0,0,0,3,8.82436692279356,9.35238812564767,9.6248554351729,11.1597761693927,11.8860994344536,10.8847966269841,10.9265924903976,19.8126141576924,19.9914424260259,,
American Residential Properties - American Homes 4 Rent,85392,0,0,0,3,3.64936794578038,4.9704760572038,5.53156477261081,5.8574232834181,6.25568556196132,6.55619582719794,6.91616561195015,8.1063013443631,8.06578750043216,,
American Residential Properties - American Homes 4 Rent,92253,0,0,0,3,1.20523580703909,1.08825002188018,1.03669098303983,0.932594211884512,0.944222274363459,0.896748691336579,0.848010970285146,0.82857010057482,0.823197657716487,,
American Residential Properties - American Homes 4 Rent,92324,0,0,0,3,2.89000031652184,3.13458664556045,3.28927459653758,3.35262632234981,3.30089499638041,3.44916171803577,3.40993566927334,3.83661822888229,3.80732268372544,,
American Residential Properties - American Homes 4 Rent,92337,0,0,0,3,5.39354898714804,6.45466420431512,6.67505583330499,7.75401294580103,7.96614047077313,8.28407433377811,8.65820709470089,10.32,10.8643424391092,,
American Residential Properties - American Homes 4 Rent,92377,0,0,0,3,11.9475669992036,13.2846098873252,14.423239066173,14.524921488977,14.3698060941828,14.1707011453241,14.0635172526042,16.9862402153676,17.063380022342,,
American Residential Properties - American Homes 4 Rent,92392,0,0,0,3,13.8628998512813,6.451579249683,6.54131441619305,6.60264244019565,6.6476400047259,6.57942204756389,6.6566844651547,6.14275395251503,6.09378758316892,,
American Residential Properties - American Homes 4 Rent,92394,0,0,0,3,3.57821755562738,3.60863515911918,3.6702456473249,3.65619359972055,3.60273181055548,3.57982015910323,3.43058965173339,3.62523040803982,3.5606216521067,,
American Residential Properties - American Homes 4 Rent,92395,0,0,0,3,2.01572955949971,1.97941339902667,2.00613290188288,2.30590486679396,3.13691928628093,2.08201920922152,2.05042225013593,2.04987839627061,2.04883187253717,,
American Residential Properties - American Homes 4 Rent,92505,0,0,0,3,15.1411888227818,15.374693877551,15.461913996919,15.5499056462249,15.5975594008264,15.3890101170403,15.2890299543741,16.0747093056075,23.9773432441263,,
American Residential Properties - American Homes 4 Rent,92530,0,0,0,3,4.34719851771874,4.00996772321478,3.85000898452416,3.80666746583887,3.81342671638171,3.73897180654101,3.72844858710871,4.57885997885707,4.59132166024203,,
American Residential Properties - American Homes 4 Rent,92545,0,0,0,3,4.45859490423438,4.69567580675717,6.66735427594743,10.2868878756576,9.96595554286318,7.19704344122324,7.12062710029783,7.06221585608308,7.09375315213259,,
American Residential Properties - American Homes 4 Rent,92586,0,0,0,3,3.38179321302454,3.41040343882277,3.53921241613075,3.44617397072718,3.5042164251849,3.54453493260022,3.60471335055827,3.85370146322907,3.86239347659869,,
Beazer/Ellington - American Homes 4 Rent,30013,0,0,0,1,35.6923764723032,28.8400728975358,31.1660809868388,30.6383010087494,29.3119344006168,24.6325021066758,25.8056362966693,24.7735626311377,23.1744500132163,22.4258209689766,22.0593764627343
Beazer/Ellington - American Homes 4 Rent,30034,0,0,0,1,6.39962515363144,6.60929013375777,6.79664077025681,6.55897917888914,6.88489706577182,7.70580195923175,7.74251911620638,7.99695002074139,7.16772207485367,6.58015468984655,7.37527925653398
Beazer/Ellington - American Homes 4 Rent,30038,0,0,0,1,10.3044719750399,10.2823684830847,9.78454230412611,9.71888705776439,10.9200756991784,10.6084032045842,10.6595019319169,12.3637135713871,7.35403176189061,7.43026454479113,8.04479056996856
Beazer/Ellington - American Homes 4 Rent,30039,0,0,0,1,4.66907663332414,4.82132009707762,5.16951522511982,5.33476096820385,5.72356773509391,6.56160207643791,7.35588906574211,7.85558754371948,8.02188202001871,9.5722445699469,9.59516871668644
