market,num_homes,avg_occ,avg_rent,avg_rent_sqft,perc_rev,firm,year,quarter
Southern California,4630,94.9,2176,1.28,12.5,Invitation Homes,2016,total
Northern California,2879,96.4,1708,1.08,6.7,Invitation Homes,2016,total
Seattle,3184,94.3,1875,0.99,8,Invitation Homes,2016,total
Phoenix,5649,94.7,1128,0.72,8.3,Invitation Homes,2016,total
Las Vegas,944,95.2,1425,0.74,1.7,Invitation Homes,2016,total
South Florida,5582,94.6,2145,1.12,14.6,Invitation Homes,2016,total
Tampa,4952,94.7,1557,0.8,9.8,Invitation Homes,2016,total
Orlando,3719,95.2,1478,0.77,7,Invitation Homes,2016,total
Jacksonville,1984,94,1544,0.77,3.8,Invitation Homes,2016,total
Atlanta,7517,94.2,1353,0.66,12.7,Invitation Homes,2016,total
Charlotte,3119,94,1360,0.68,5.2,Invitation Homes,2016,total
Chicago,2956,92,2010,1.19,7,Invitation Homes,2016,total
Minneapolis,1183,94.2,1749,0.88,2.7,Invitation Homes,2016,total
All,47918,94.9,661,0.89,100,Invitation Homes,2017,1
All,47725.00,95,1683,0.9,100,Invitation Homes,2017,2
All,47867.00,94.4,1705,0.92,100,Invitation Homes,2017,3
Southern California,8384,95.5,2267,1.33,12.7,Invitation Homes,2017,total
Northern California,4606,95.8,1780,1.13,6.7,Invitation Homes,2017,total
Seattle,3271,94.7,1956,1.03,8.3,Invitation Homes,2017,total
Phoenix,7435,95.3,1179,0.74,8.2,Invitation Homes,2017,total
Las Vegas,2708,95.2,1463,0.76,1.8,Invitation Homes,2017,total
South Florida,9334,93.4,2186,1.14,14.6,Invitation Homes,2017,total
Tampa,8853,94.4,1594,0.82,9.6,Invitation Homes,2017,total
Orlando,5679,95.4,1527,0.8,7,Invitation Homes,2017,total
Jacksonville,1945,94.6,1569,0.79,3.8,Invitation Homes,2017,total
Atlanta,12428,94.9,1389,0.67,12.6,Invitation Homes,2017,total
Charlotte,4895,94.1,1386,0.7,5.2,Invitation Homes,2017,total
Chicago,4031,93.2,2023,1.2,6.9,Invitation Homes,2017,total
Southern California,3752,,2073,,,Starwood Waypoint,2017,total
Northern California,1759,,1509,,,Starwood Waypoint,2017,total
Phoenix,1990,,1870,,,Starwood Waypoint,2017,total
Las Vegas,1745,,1471,,,Starwood Waypoint,2017,total
Denver,2195,,1843,,,Starwood Waypoint,2017,total
South Florida,3768,,1870,,,Starwood Waypoint,2017,total
Tampa,3920,,1509,,,Starwood Waypoint,2017,total
Orlando,1943,,1462,,,Starwood Waypoint,2017,total
Atlanta,5075,,1405,,,Starwood Waypoint,2017,total
Charlotte,1721,,1677,,,Starwood Waypoint,2017,total
Nashville,761,,1882,,,Starwood Waypoint,2017,total
Houston,2597,,1524,,,Starwood Waypoint,2017,total
Dallas,2270,,1709,,,Starwood Waypoint,2017,total
Chicago,1157,,1715,,,Starwood Waypoint,2017,total
Southern California,8361,0.95,2229,1.32,0.13,Invitation Homes,2018,1
Northern California,4592,0.96,1900,1.24,0.07,Invitation Homes,2018,1
Seattle,3294,0.95,2029,1.07,0.05,Invitation Homes,2018,1
Phoenix,7435,0.96,1241,0.76,0.07,Invitation Homes,2018,1
Las Vegas,2709,0.97,1490,0.75,0.03,Invitation Homes,2018,1
Denver,2190,0.95,1856,1.04,0.03,Invitation Homes,2018,1
South Florida,9314,0.94,2087,1.13,0.14,Invitation Homes,2018,1
Tampa,8655,0.94,1580,0.86,0.1,Invitation Homes,2018,1
Orlando,5856,0.96,1536,0.83,0.07,Invitation Homes,2018,1
Jacksonville,1941,0.96,1593,0.8,0.02,Invitation Homes,2018,1
Atlanta,12405,0.95,1420,0.69,0.13,Invitation Homes,2018,1
Carolinas,4958,0.92,1495,0.71,0.05,Invitation Homes,2018,1
Nashville,782,0.81,1839,0.85,0.01,Invitation Homes,2018,1
Houston,2572,0.91,1529,0.78,0.03,Invitation Homes,2018,1
Dallas,2266,0.94,1697,0.81,0.03,Invitation Homes,2018,1
Chicago,4005,0.94,1930,1.18,0.05,Invitation Homes,2018,1
Minneapolis,1174,0.96,1798,0.91,0.02,Invitation Homes,2018,2
Southern California,8334,0.96,2262,1.34,13.1,Invitation Homes,2018,2
Northern California,4573,0.96,1938,1.27,6.5,Invitation Homes,2018,2
Seattle,3359,0.95,2069,1.09,5.1,Invitation Homes,2018,2
Phoenix,7464,0.97,1260,0.78,6.9,Invitation Homes,2018,2
Las Vegas,2707,0.96,1512,0.76,3,Invitation Homes,2018,2
Denver,2190,0.94,1886,1.06,3,Invitation Homes,2018,2
